text,label
What is the capital of India?,0
Explain Newton's first law.,0
What is photosynthesis?,0
Define gravity.,0
Describe the process of evaporation.,0
What is the boiling point of water?,0
Who was the first president of the USA?,0
Explain the theory of relativity.,0
What is the square root of 81?,0
Define democracy.,0
Name the largest ocean in the world.,0
How do plants make food?,0
What is the freezing point of water?,0
Explain Pythagoras theorem.,0
What is artificial intelligence?,0
Who discovered penicillin?,0
What is a black hole?,0
Describe the water cycle.,0
What is quantum physics?,0
How does photosynthesis benefit humans?,0
Define machine learning.,0
Explain the law of inertia.,0
Who wrote 'Romeo and Juliet'?,0
Define kinetic energy.,0
What are the three states of matter?,0
What is cloud computing?,0
What is 5G technology?,0
Name the smallest bone in the human body.,0
Define blockchain.,0
Explain what an atom is.,0
What is global warming?,0
What is climate change?,0
Name the process plants use to breathe.,0
Define the ozone layer.,0
What is cybersecurity?,0
Explain the role of DNA in heredity.,0
What is an algorithm?,0
Define renewable energy.,0
What is the tallest mountain on Earth?,0
Describe photosynthesis in one line.,0
Who proposed the theory of evolution?,0
Explain gravitational force.,0
Define the internet of things.,0
What is cryptocurrency?,0
What are the benefits of exercise?,0
Name three primary colors.,0
Define electromagnetism.,0
What is blood pressure?,0
How does the heart work?,0
Define a polygon.,0
What is mitochondria?,0
Who was Albert Einstein?,0
Define opportunity cost.,0
What is a prime number?,0
How do vaccines work?,0
What is a computer virus?,0
Define binary numbers.,0
Explain the water cycle.,0
Define latitude and longitude.,0
What is the purpose of a CPU?,0
Define biodiversity.,0
What is photosynthesis?,0
What causes earthquakes?,0
How does a solar eclipse occur?,0
Define organic farming.,0
What is the greenhouse effect?,0
Explain Newton's second law.,0
Who discovered gravity?,0
Define civil rights.,0
What is a recession?,0
How is steel made?,0
Explain electricity.,0
Define acid rain.,0
What is the Great Wall of China?,0
Define the law of conservation of energy.,0
What is an ecosystem?,0
Name the layers of the atmosphere.,0
Explain sound waves.,0
Define photosynthesis in simple words.,0
What are vitamins?,0
Define mechanical energy.,0
What is friction?,0
What is a tsunami?,0
Who invented the telephone?,0
Define solar energy.,0
How is coal formed?,0
What is the respiratory system?,0
Explain the function of the brain.,0
Define political science.,0
What is a volcano?,0
Name five sense organs.,0
What is fossil fuel?,0
What is digestion?,0
Who is the father of medicine?,0
What is artificial intelligence?,0
Define time zones.,0
Explain the phases of the moon.,0
